Accession,FBgn
Q9VFC8,FBgn0266064
P83967,FBgn0000047
Q9VZ34,FBgn0030263
Q9VX69,FBgn0030828
A8JNU6,FBgn0010352
M9PDP3,FBgn0032773
P84040,FBgn0001200
P84040,FBgn0051611
P84040,FBgn0053869
P84040,FBgn0053871
P84040,FBgn0053873
P84040,FBgn0053875
P84040,FBgn0053877
P84040,FBgn0053879
P84040,FBgn0053881
P84040,FBgn0053883
P84040,FBgn0053885
P84040,FBgn0053887
P84040,FBgn0053889
P84040,FBgn0053891
P84040,FBgn0053893
P84040,FBgn0053895
P84040,FBgn0053897
P84040,FBgn0053899
P84040,FBgn0053901
P84040,FBgn0053903
P84040,FBgn0053905
P84040,FBgn0053907
P84040,FBgn0053909
P84040,FBgn0013981
Q3HKQ3,FBgn0052203
Q9VKR1,FBgn0032291
P41042,FBgn0011284
Q9VQB7,FBgn0264672
A0A0B4LGL0,FBgn0265991
B7Z0M7,FBgn0270925
A0A0B4J401,FBgn0034420
Q6NN09,FBgn0039830
P07486,FBgn0001091
Q7YU05,FBgn0028325
Q9VLW2,FBgn0031955
Q9VGG6,FBgn0037962
Q9XZH6,FBgn0283536
Q9VIQ8,FBgn0032833
Q9VJ59,FBgn0032704
P36188,FBgn0283471
A0A0B4LHL7,FBgn0016120
X2JB25,FBgn0005391
Q9V9Q6,FBgn0086779
Q9W4E4,FBgn0029747
Q9VLM0,FBgn0040098
Q7K2I4,FBgn0036415
Q9VAR7,FBgn0039616
A1Z9M2,FBgn0033906
Q9VXM5,FBgn0260938
M9NH07,FBgn0004169
Q9VUR6,FBgn0036518
P27716,FBgn0004646
P05389,FBgn0003274
Q0KHZ6,FBgn0039697
B5RIR1,FBgn0015776
Q868Z9,FBgn0003137
M9PEC6,FBgn0030339
M9PCQ1,FBgn0015623
Q9VS34,FBgn0035753
C6SUW3,FBgn0010408
Q9VQ02,FBgn0031333
E1JHW5,FBgn0035240
Q9V397,FBgn0028479
Q9VH94,FBgn0028997
P41094,FBgn0010411
Q9VJX7,FBgn0032525
