Accession,FBgn
P27619,FBgn0003392
P27864,FBgn0004584
P28668,FBgn0005674
P28750,FBgn0000615
P29310,FBgn0004907
P29613,FBgn0086355
P29746,FBgn0001090
P29829,FBgn0004623
P29844,FBgn0001218
P29845,FBgn0001220
P29993,FBgn0010051
P31007,FBgn0001624
P32234,FBgn0010339
P32392,FBgn0262716
P35381,FBgn0011211
P35416,FBgn0003149
P35421,FBgn0000052
P36241,FBgn0285950
P37276,FBgn0261797
P38979,FBgn0003517
P39018,FBgn0010412
P40301,FBgn0086134
P40304,FBgn0002284
P40320,FBgn0005278
P41042,FBgn0011284
P41043,FBgn0010226
P41073,FBgn0004401
P41093,FBgn0010409
P41094,FBgn0010411
P41126,FBgn0011272
P41374,FBgn0261609
P41375,FBgn0004926
P41572,FBgn0004654
P45437,FBgn0008635
P45594,FBgn0011726
P45889,FBgn0011745
P46150,FBgn0011661
P46222,FBgn0013325
P46415,FBgn0011768
P46824,FBgn0010235
P47947,FBgn0013348
P47949,FBgn0010424
P48148,FBgn0014020
P48149,FBgn0010198
P48159,FBgn0010078
P48375,FBgn0013954
P48461,FBgn0003134
P48555,FBgn0015286
P48588,FBgn0086472
P48596,FBgn0003162
P48601,FBgn0015282
P49963,FBgn0015298
P50882,FBgn0015756
P50887,FBgn0015288
P51592,FBgn0002431
P52029,FBgn0003074
P54351,FBgn0266464
P54357,FBgn0004687
P54385,FBgn0001098
P54397,FBgn0013269
P54399,FBgn0286818
P54611,FBgn0283535
P54622,FBgn0010438
P55035,FBgn0015283
P55830,FBgn0017545
P56538,FBgn0034915
P61209,FBgn0010348
P61851,FBgn0003462
P61857,FBgn0003889
P62152,FBgn0000253
P80455,FBgn0286213
P82147,FBgn0011296
P84040,FBgn0001200
P84040,FBgn0051611
P84040,FBgn0053869
P84040,FBgn0053871
P84040,FBgn0053873
P84040,FBgn0053875
P84040,FBgn0053877
P84040,FBgn0053879
P84040,FBgn0053881
P84040,FBgn0053883
P84040,FBgn0053885
P84040,FBgn0053887
P84040,FBgn0053889
P84040,FBgn0053891
P84040,FBgn0053893
P84040,FBgn0053895
P84040,FBgn0053897
P84040,FBgn0053899
P84040,FBgn0053901
P84040,FBgn0053903
P84040,FBgn0053905
P84040,FBgn0053907
P84040,FBgn0053909
P84040,FBgn0013981
P84051,FBgn0001196
P84051,FBgn0051618
P84051,FBgn0053808
P84051,FBgn0053814
P84051,FBgn0053817
P84051,FBgn0053820
P84051,FBgn0053823
P84051,FBgn0053826
P84051,FBgn0053829
P84051,FBgn0053832
P84051,FBgn0053835
P84051,FBgn0053838
P84051,FBgn0053841
P84051,FBgn0053844
P84051,FBgn0053847
P84051,FBgn0053850
P84051,FBgn0053862
P84051,FBgn0053865
P91926,FBgn0264855
P91929,FBgn0019957
P91938,FBgn0020653
P98163,FBgn0004649
Q00168,FBgn0264607
Q00637,FBgn0010213
Q01604,FBgn0250906
Q01989,FBgn0011225
Q02427,FBgn0260944
Q02645,FBgn0263391
Q02748,FBgn0001942
Q03334,FBgn0010265
Q03427,FBgn0010397
Q04448,FBgn0010222
Q04499,FBgn0003423
Q05825,FBgn0010217
Q05856,FBgn0262601
Q06559,FBgn0002622
Q07152,FBgn0003204
Q07171,FBgn0010225
Q07327,FBgn0004574
Q08473,FBgn0263396
Q09103,FBgn0261549
Q09332,FBgn0014075
Q0E8E8,FBgn0026409
Q0E8X7,FBgn0250838
Q0E8X8,FBgn0040660
Q0E959,FBgn0083983
Q0E9E2,FBgn0027580
Q0E9F9,FBgn0033241
Q0KHR4,FBgn0002709
Q0KHU2,FBgn0285926
Q0KHZ6,FBgn0039697
Q1RL12,FBgn0015777
Q23983,FBgn0250791
Q23997,FBgn0013763
Q24186,FBgn0002590
Q24208,FBgn0263740
Q24253,FBgn0010380
Q24297,FBgn0000426
Q24319,FBgn0014868
Q24372,FBgn0010238
Q24400,FBgn0014863
Q24439,FBgn0016691
Q24492,FBgn0010173
Q24560,FBgn0284243
Q24572,FBgn0263979
Q24583,FBgn0262512
Q26365,FBgn0003360
Q27415,FBgn0016685
Q27580,FBgn0014455
Q32KD4,FBgn0262739
Q3YMU0,FBgn0033663
Q4QQB9,FBgn0034398
Q500X4,FBgn0033868
Q500Y7,FBgn0034245
Q53YH3,FBgn0005585
Q53ZT0,FBgn0263106
Q59DP9,FBgn0259214
Q5LJN5,FBgn0267433
Q5U117,FBgn0086712
Q5U124,FBgn0050359
Q6GUR9,FBgn0034153
Q6IDF5,FBgn0033961
Q6NLA3,FBgn0028671
Q6NP72,FBgn0033608
Q76NQ0,FBgn0053303
Q76NR6,FBgn0030362
Q7JQN4,FBgn0021995
Q7JR49,FBgn0262515
Q7JR58,FBgn0033879
Q7JRI6,FBgn0034345
Q7JS69,FBgn0032946
Q7JUS9,FBgn0034497
Q7JV70,FBgn0033928
Q7JVI3,FBgn0033902
Q7JVK1,FBgn0026741
Q7JVK6,FBgn0033528
Q7JW48,FBgn0034295
Q7JX87,FBgn0033518
Q7JXC4,FBgn0034259
Q7JXF5,FBgn0034118
Q7JXU4,FBgn0034243
Q7JXZ2,FBgn0000566
Q7JYH3,FBgn0034576
Q7JYK1,FBgn0003941
Q7JYX5,FBgn0266186
Q7JZ25,FBgn0033755
Q7JZD3,FBgn0027066
Q7JZK1,FBgn0033570
Q7JZM8,FBgn0034001
Q7JZN0,FBgn0010638
Q7JZW2,FBgn0034138
Q7K084,FBgn0033268
Q7K0A0,FBgn0033480
Q7K0B6,FBgn0050000
Q7K0E6,FBgn0002069
Q7K0Y1,FBgn0028744
Q7K110,FBgn0034277
Q7K126,FBgn0033029
Q7K127,FBgn0034117
Q7K148,FBgn0029134
Q7K188,FBgn0033872
Q7K1C0,FBgn0031228
Q7K1Q7,FBgn0033485
Q7K1U0,FBgn0033926
Q7K209,FBgn0033735
Q7K274,FBgn0021979
Q7K2D2,FBgn0021825
Q7K2G1,FBgn0033886
Q7K2I4,FBgn0036415
Q7K2S9,FBgn0259795
Q7K2U8,FBgn0028560
Q7K2W6,FBgn0283437
Q7K332,FBgn0050159
Q7K3B7,FBgn0034488
Q7K3D4,FBgn0034368
Q7K3E2,FBgn0031313
Q7K3H0,FBgn0015278
Q7K3J0,FBgn0284436
Q7K3W2,FBgn0033235
Q7K485,FBgn0029093
Q7K486,FBgn0034315
Q7K4B2,FBgn0284246
Q7K4N3,FBgn0022942
Q7K511,FBgn0023507
Q7K569,FBgn0022160
Q7K5K3,FBgn0039635
Q7KJ73,FBgn0029506
Q7KKI0,FBgn0010621
Q7KLW9,FBgn0261119
Q7KLX3,FBgn0021795
Q7KM15,FBgn0000181
Q7KML2,FBgn0027572
Q7KMM4,FBgn0027588
Q7KMP8,FBgn0028691
Q7KMQ0,FBgn0028687
Q7KN61,FBgn0025373
Q7KN62,FBgn0286784
Q7KN75,FBgn0027835
Q7KN85,FBgn0020236
Q7KN90,FBgn0027091
Q7KN94,FBgn0010516
Q7KNF2,FBgn0005648
Q7KR04,FBgn0033555
Q7KRU8,FBgn0015222
Q7KSM5,FBgn0029512
Q7KSQ0,FBgn0037912
Q7KTC0,FBgn0032456
Q7KTF1,FBgn0032314
Q7KTJ7,FBgn0261822
Q7KTV5,FBgn0037137
Q7KUA4,FBgn0029113
Q7KUT2,FBgn0036892
Q7KVQ0,FBgn0011824
Q7KVW1,FBgn0263987
Q7KVX1,FBgn0028325
Q7KW39,FBgn0023537
Q7PL91,FBgn0085736
Q7PL91,FBgn0058002
Q7PLL6,FBgn0287182
Q868Z9,FBgn0003137
Q86B44,FBgn0030882
Q86B44,FBgn0052495
Q86B87,FBgn0002781
Q86B94,FBgn0260745
Q86BB0,FBgn0037464
Q86BI3,FBgn0263603
Q86BM5,FBgn0027932
Q86BM8,FBgn0053002
Q86BP1,FBgn0038326
Q86PF4,FBgn0038088
Q86S05,FBgn0020279
Q8I0G5,FBgn0028968
Q8I0J3,FBgn0044511
Q8I725,FBgn0037370
Q8I937,FBgn0052409
Q8IGY1,FBgn0003721
Q8IML5,FBgn0028671
Q8IML6,FBgn0039635
Q8INH6,FBgn0052473
Q8INK3,FBgn0037913
Q8INP9,FBgn0037652
Q8IP45,FBgn0261268
Q8IP62,FBgn0260407
Q8IPB7,FBgn0027611
Q8IPP8,FBgn0051548
Q8IPU3,FBgn0037024
Q8IPV3,FBgn0288229
Q8IPY3,FBgn0001125
Q8IQ63,FBgn0015766
Q8IQ80,FBgn0035770
Q8IQQ0,FBgn0010352
Q8IQZ7,FBgn0024238
Q8IR72,FBgn0052638
Q8IR99,FBgn0285926
Q8IRD3,FBgn0035438
Q8IRG6,FBgn0002183
Q8IRH1,FBgn0261243
Q8IRH5,FBgn0035213
Q8IRJ7,FBgn0035111
Q8IRS7,FBgn0026084
Q8MKK1,FBgn0050185
Q8MLQ5,FBgn0261794
Q8MLS2,FBgn0050410
Q8MMD0,FBgn0050423
Q8MRW1,FBgn0267976
Q8MS27,FBgn0038923
Q8MSI2,FBgn0020908
Q8MSS7,FBgn0031639
Q8MSW0,FBgn0027086
Q8MT06,FBgn0038473
Q8MT58,FBgn0287767
Q8MZI3,FBgn0035720
Q8STA5,FBgn0031459
Q8STG9,FBgn0086357
Q8SWR8,FBgn0041188
Q8SWS7,FBgn0052418
Q8SX57,FBgn0051549
Q8SXC2,FBgn0037955
Q8SXF0,FBgn0037529
Q8SXQ1,FBgn0036857
Q8SXY6,FBgn0045866
Q8SY19,FBgn0025814
Q8SY39,FBgn0052344
Q8SY53,FBgn0032015
Q8SYG2,FBgn0027055
Q8SYJ2,FBgn0052230
Q8SYL1,FBgn0022288
Q8SYP9,FBgn0287187
Q8SYQ8,FBgn0033100
Q8SZU0,FBgn0032889
Q8T0D3,FBgn0026533
Q8T0L3,FBgn0023143
Q8T0Q4,FBgn0086656
Q8T3V6,FBgn0014023
Q8T3W8,FBgn0037888
Q8T3W8,FBgn0037879
Q8T4C4,FBgn0036568
Q8T4D6,FBgn0037862
Q8T4G5,FBgn0036702
Q8T4H8,FBgn0033020
Q8T6B9,FBgn0028577
Q8T8W3,FBgn0016693
Q8WTC1,FBgn0026261
Q94511,FBgn0017566
Q94514,FBgn0019624
Q94516,FBgn0019644
Q94517,FBgn0015805
Q94522,FBgn0004888
Q94523,FBgn0261439
Q94524,FBgn0024432
Q94887,FBgn0013997
Q94901,FBgn0011640
Q94920,FBgn0004363
Q95029,FBgn0013770
Q95083,FBgn0016697
Q95RA9,FBgn0038149
Q95RB2,FBgn0033728
Q95RE4,FBgn0022959
Q95RF6,FBgn0036928
Q95RI5,FBgn0014163
Q95RR5,FBgn0015278
Q95RR6,FBgn0022361
Q95RU0,FBgn0011204
Q95SI7,FBgn0038924
Q95SK3,FBgn0050291
Q95TL8,FBgn0030734
Q95TZ4,FBgn0037988
Q95U38,FBgn0037643
Q95WY3,FBgn0038964
Q960D4,FBgn0025628
Q960W6,FBgn0034142
Q960Y8,FBgn0038535
Q961R9,FBgn0038407
Q961W5,FBgn0045770
Q9GU68,FBgn0285952
Q9I7D3,FBgn0042134
Q9I7K5,FBgn0069242
Q9I7Q9,FBgn0042112
Q9I7R5,FBgn0042178
Q9I7S8,FBgn0020513
Q9I7T7,FBgn0035424
Q9I7U4,FBgn0086906
Q9NFP5,FBgn0035772
Q9NFU0,FBgn0028734
Q9NJH0,FBgn0029176
Q9TVM2,FBgn0020497
Q9U599,FBgn0029084
Q9U5L1,FBgn0010391
Q9U915,FBgn0283494
Q9U9Q4,FBgn0022023
Q9V345,FBgn0027054
Q9V397,FBgn0028479
Q9V3A8,FBgn0035909
Q9V3D0,FBgn0001995
Q9V3D9,FBgn0010747
Q9V3E3,FBgn0028648
Q9V3E7,FBgn0010774
Q9V3F8,FBgn0015781
Q9V3G1,FBgn0261602
Q9V3G7,FBgn0028688
Q9V3H2,FBgn0028694
Q9V3I1,FBgn0250837
Q9V3I2,FBgn0014010
Q9V3J1,FBgn0027779
Q9V3J4,FBgn0024509
