Accession,FBgn
P08266,FBgn0262955
Q9VBC4,FBgn0039451
O77410,FBgn0025582
Q27580,FBgn0014455
O44386,FBgn0286785
Q9U5L1,FBgn0010391
Q8IRH1,FBgn0261243
Q9W2X0,FBgn0263220
Q9VUM2,FBgn0036488
Q9U485,FBgn0015772
Q9VBQ6,FBgn0040212
Q7KTU2,FBgn0052451
Q9VE18,FBgn0038666
Q7JR72,FBgn0261673
Q9V9N5,FBgn0261802
Q29R20,FBgn0266100
Q9VU68,FBgn0260049
Q24212,FBgn0016975
Q9VV87,FBgn0260960
O62536,FBgn0021761
Q7JW12,FBgn0034455
A8JQ65,FBgn0085413
Q7KT91,FBgn0028916
Q8SXG7,FBgn0031607
Q8SY13,FBgn0032629
Q9VTU2,FBgn0011455
Q9VMI5,FBgn0031769
Q9VNS2,FBgn0037182
P26270,FBgn0002787
Q9VXZ2,FBgn0030603
Q5U117,FBgn0086712
Q6NP18,FBgn0266580
Q9VZF1,FBgn0035519
P29742,FBgn0000319
Q9VEF9,FBgn0262562
O17445,FBgn0028697
Q8IMW9,FBgn0039187
Q8MQY3,FBgn0033672
Q8MR05,FBgn0037370
Q7KMR7,FBgn0035631
Q9UAF0,FBgn0020762
Q9VW71,FBgn0261574
Q8SWW9,FBgn0023536
Q500Y7,FBgn0034245
P32392,FBgn0262716
Q9NKW9,FBgn0002937
Q9VCW7,FBgn0266418
Q9VKZ8,FBgn0032216
Q9VA70,FBgn0039774
Q9VEC8,FBgn0038571
Q9W3D6,FBgn0030052
Q9V4A7,FBgn0025740
Q9VXV4,FBgn0030638
Q6NND8,FBgn0003435
Q0KHR7,FBgn0259923
Q8T017,FBgn0028743
Q9W3J1,FBgn0030011
Q9VEY4,FBgn0038401
Q9VXE7,FBgn0030761
Q7KTC1,FBgn0032456
Q9VPX6,FBgn0261458
Q7K110,FBgn0034277
Q02926,FBgn0004903
Q6AWD5,FBgn0037702
Q9VGM2,FBgn0037913
Q9VJ11,FBgn0032746
A1Z8U0,FBgn0033688
P25160,FBgn0000115
P48148,FBgn0014020
P48603,FBgn0011570
Q9NB72,FBgn0038499
P13217,FBgn0262738
Q0E8U7,FBgn0031374
Q9VCL1,FBgn0039089
A1Z6Z8,FBgn0261397
Q9VVU2,FBgn0036825
Q9VLT6,FBgn0031981
Q9I7S4,FBgn0265597
Q8MLR7,FBgn0028497
E1NZC4,FBgn0042185
A1Z9W2,FBgn0053506
Q07093,FBgn0013972
Q9VEE5,FBgn0053547
Q9W4R3,FBgn0052791
Q86P21,FBgn0051721
P25991,FBgn0003559
Q6NQV8,FBgn0260005
Q9VFV8,FBgn0038146
Q9VVA7,FBgn0036666
Q8IH82,FBgn0040493
Q7JY07,FBgn0034173
Q8IQ62,FBgn0085447
A8JUX2,FBgn0030613
Q9VTB3,FBgn0036099
A1Z9N7,FBgn0263397
Q9V3N4,FBgn0027655
Q9VT69,FBgn0036058
Q9VMT5,FBgn0031689
Q7KN74,FBgn0021847
Q24323,FBgn0011260
P07487,FBgn0001092
Q94523,FBgn0261439
Q0E8G9,FBgn0263219
Q9W543,FBgn0023510
Q9XZE4,FBgn0026409
Q9VIU8,FBgn0032798
A1ZAI5,FBgn0034145
Q9VW54,FBgn0028695
Q9W269,FBgn0034716
A8JR94,FBgn0051140
Q9VZE4,FBgn0035526
Q9U1M2,FBgn0040384
H9XVP2,FBgn0025726
Q59DX2,FBgn0266756
Q9VG79,FBgn0000455
Q8IN78,FBgn0051229
Q9VLS7,FBgn0031990
Q9VMQ5,FBgn0031713
Q8IGG7,FBgn0051548
Q9V447,FBgn0266449
Q9VPJ0,FBgn0031217
Q9V3K9,FBgn0261862
Q9VZ23,FBgn0020255
Q06559,FBgn0002622
Q09332,FBgn0014075
Q9VCC6,FBgn0039156
Q9VQZ1,FBgn0022153
Q9VQ29,FBgn0021906
Q9VIC6,FBgn0083963
P48375,FBgn0013954
A1Z876,FBgn0026403
Q9V9M7,FBgn0032987
Q24593,FBgn0023458
Q9W2E4,FBgn0034649
A8DYR2,FBgn0085409
Q9VMV5,FBgn0016075
Q9V784,FBgn0033989
Q94516,FBgn0019644
A8JNN5,FBgn0035879
Q9VND8,FBgn0041191
Q6NR07,FBgn0035371
A8DYH2,FBgn0085220
Q9VP76,FBgn0024150
Q9VQX6,FBgn0031590
Q8T043,FBgn0033095
B7Z126,FBgn0283657
Q8IRD5,FBgn0035437
Q9VTW8,FBgn0036279
P92208,FBgn0000229
Q8IGJ0,FBgn0086784
Q9VB11,FBgn0039536
Q9VBU6,FBgn0039303
Q9VDH5,FBgn0038837
Q7JY99,FBgn0033673
Q9W2F3,FBgn0016641
Q9VNR9,FBgn0037184
Q9VM14,FBgn0283658
Q9VZF6,FBgn0035515
Q9W1B0,FBgn0023081
Q9V9W3,FBgn0039857
Q9VVT8,FBgn0036821
Q9VCG3,FBgn0039126
Q9VIQ8,FBgn0032833
Q9VLU2,FBgn0031975
Q9V787,FBgn0029082
Q9VM04,FBgn0260486
A1Z9E3,FBgn0024556
Q9VMW9,FBgn0031661
Q07327,FBgn0004574
Q9U4L6,FBgn0016041
Q9W1N3,FBgn0034877
A1ZBH7,FBgn0263395
Q9VPX5,FBgn0031310
O62531,FBgn0024833
Q9VC05,FBgn0020626
Q9VT61,FBgn0027567
P25162,FBgn0004118
Q9VB05,FBgn0086346
Q9W3M8,FBgn0260858
Q7KUK9,FBgn0036454
Q9VYQ8,FBgn0030366
Q9VQV1,FBgn0031571
Q9VR07,FBgn0011603
Q9VWN5,FBgn0030973
Q9V393,FBgn0040206
Q8IPL3,FBgn0083962
E1JH59,FBgn0033846
Q9W2V9,FBgn0028331
Q9V434,FBgn0086443
Q7K0E6,FBgn0002069
Q7KSQ0,FBgn0037912
Q9VAQ0,FBgn0039632
Q95TH0,FBgn0032775
Q7KN63,FBgn0011336
Q9VBU9,FBgn0039300
Q960Z0,FBgn0030268
Q9W462,FBgn0029819
A1Z6N4,FBgn0050446
Q9VYW6,FBgn0030318
Q9VUM3,FBgn0036489
P84029,FBgn0284248
P25123,FBgn0004244
P52029,FBgn0003074
Q9V3P6,FBgn0028692
Q95R98,FBgn0035951
